SampleID	Site	Month	Season	Sample_Month	Sample_Season	Silicon	Ammonium	Ammonia	Nitrite	Nitrate	Nitrates_Nitrites	Phosphorous	Salinity	Temperature	pH	Time of sampling	Tide height 	Max tide height	Turbidity	DO	DOC	Daylight hours	TDS	condition	Group	seasongroup
SD3110_S40	BR1	February	Summer	BR1February	BR1Summer	3	0.06		0.09	0.16	0.25	0.1	22.52	27	7.95	11:30:00	2.4	2.46	12	4.19		12:45:11	21.9	BR1Feb	BR1Feb2	BR1Summer2
SD3111_S41	BR1	February	Summer	BR1February	BR1Summer	3.1	0.05		0.09	0.36	0.45	0.1	22.55	27	7.95	11:30:00	2.4	2.46	13.1	4.23		12:45:11	21.9	BR1Feb	BR1Feb3	BR1Summer3
SD3112_S42	BR2	February	Summer	BR2February	BR2Summer	11	0.03		0.01	0.92	0.92	0.21	3.86	27	7.83	12:30:00	2.2	2.23	283	2.39		12:45:11	4.46	BR2Feb	BR2Feb1	BR2Summer1
SD3113_S43	BR2	February	Summer	BR2February	BR2Summer	10.9	0.02		0.01	0.91	0.91	0.19	3.97	27	7.83	12:30:00	2.2	2.23	321	2.37		12:45:11	4.58	BR2Feb	BR2Feb2	BR2Summer2
SD3114_S44	BR2	February	Summer	BR2February	BR2Summer	10.9	0.03		0.01	0.92	0.92	0.18	3.9	27	7.83	12:30:00	2.2	2.23	308	2.35		12:45:11	4.5	BR2Feb	BR2Feb3	BR2Summer3
SD9007_COM	BR1	October	Spring	BR1October	BR1Spring	1	0.08	0.09	0.02	0.11	0.13	0.1	32.4	23.87	7.96	7:45:00 AM	0.7	0.71	10.4	7.2		12:56:14	30.3	BR1October	BR1October1	BR1Spring1
SD9008_S2	BR1	October	Spring	BR1October	BR1Spring	1	0.06	0.06	0.02	0.11	0.13	0.12	32.1	23.86	7.97	7:45:00 AM	0.7	0.71	11.6	7.15		12:56:14	30	BR1October	BR1October2	BR1Spring2
SD9009_S3	BR1	October	Spring	BR1October	BR1Spring	1.2	0.08	0.08	0.02	0.11	0.13	0.11	32.4	23.86	7.97	7:45:00 AM	0.7	0.71	11.7	7.07		12:56:14	30.3	BR1October	BR1October3	BR1Spring3
SD9010_S4	BR2	October	Spring	BR2October	BR2Spring	2.1	<0.01	<0.01	0.03	0.67	0.7	0.41	14.9	24.3	7.59	10:30:00 AM	0.5	0.52	12.8	6.14		12:56:14	15.2	BR2October	BR2October1	BR2Spring1
SD9011_COM	BR2	October	Spring	BR2October	BR2Spring	2.2	<0.01	<0.01	0.03	0.66	0.69	0.43	14.9	24.3	7.61	10:30:00 AM	0.5	0.52	11.7	6.07		12:56:14	15.2	BR2October	BR2October2	BR2Spring2
SD9012_S6	BR2	October	Spring	BR2October	BR2Spring	2.2	<0.01	<0.01	0.03	0.65	0.68	0.4	15	24.34	7.62	10:30:00 AM	0.5	0.52	12.4	5.93		12:56:14	15.3	BR2October	BR2October3	BR2Spring3
